,Country,primaryValue,netWgt,flowCode
435,Hungary,106897.0,184629.0,X
436,Hungary,48747368.0,104352308.0,X
437,Hungary,48854265.0,104536937.0,X
438,Qatar,12411487052.997,24062512574.31,X
439,Peru,142.0,236.81,X
440,Peru,121953948.89,309141530.0,X
441,Peru,121954090.89,309141766.81,X
442,Rep. of Moldova,179288.0,579795.0,X
443,Slovakia,101.872,80.0,X
444,Slovakia,34654968.505,80400000.0,X
445,Slovakia,643.698,76.0,X
446,South Africa,4144.222,1145.0,X
447,South Africa,4144.222,1145.0,X
448,South Africa,17.296,9.31,X
449,South Africa,4161.518,1154.31,X
450,Spain,1651.606,400.0,X
451,Spain,1651.606,400.0,X
452,Spain,1651.606,400.0,X
453,Spain,1651.606,400.0,X
454,Spain,20551307.105,29998900.0,X
455,Spain,20551307.105,29998900.0,X
456,Spain,20551307.105,29998900.0,X
457,Spain,20551307.105,29998900.0,X
458,Thailand,631209696.437,1368438307.0,X
459,Mongolia,21804349.47,52021790.0,X
460,Mongolia,366665785.66,887502090.0,X
461,Mongolia,344861436.19,835480300.0,X
462,Mongolia,366665785.66,887502090.0,X
463,Slovakia,2047018.25,4393000.0,X
464,Spain,48924170.211,76204700.0,X
465,Spain,48924170.211,76204700.0,X
466,Spain,18247.443,16879.6,X
467,Spain,18247.443,16879.6,X
468,Spain,48942417.654,76221579.6,X
469,Spain,48942417.654,76221579.6,X
470,Spain,1503.623,800.0,X
471,Spain,1503.623,800.0,X
472,Spain,316.42,20.32,X
473,Spain,316.42,20.32,X
474,Spain,1820.042,820.32,X
475,Spain,1820.042,820.32,X
476,Spain,664463239.057,,X
477,Spain,8353.399,,X
478,Spain,112836.285,,X
479,Spain,8353.399,,X
480,Spain,664318654.282,1041794050.0,X
481,Spain,2620.456,147.95,X
482,Spain,29128.034,20479.6,X
483,Spain,11418.824,2720.0,X
484,Spain,93064.061,30922.0,X
485,Spain,40546.858,23199.6,X
486,Spain,2620.456,147.95,X
487,Spain,664411718.343,1041824972.0,X
488,Spain,664350402.772,1041814677.55,X
489,Thailand,117.012,117.0,X
490,Côte d'Ivoire,901864530.984,2040778700.0,X
491,Côte d'Ivoire,901869091.833,2040779254.0,X
492,Oman,19651213425.149,41952617151.638,X
493,Poland,113555843.0,242908442.0,X
494,Russian Federation,122228578653.3,269175244771.0,X
495,Senegal,16027017.015,67582170.0,X
496,Senegal,16027017.015,67582170.0,X
497,Nigeria,41039870940.98,,X
498,Singapore,14607.916,,X
499,Thailand,115.009,115.0,X
500,Thailand,4715.392,7634.0,X
501,Thailand,256.48,3662.0,X
502,Thailand,4.008,4.0,X
503,Thailand,50.01,50.0,X
504,Thailand,659253601.752,1397471306.0,X
505,Switzerland,460.849,30.0,X
506,Switzerland,3146.449,423.0,X
507,Switzerland,3607.298,453.0,X
508,Switzerland,3146.449,423.0,X
509,Switzerland,3607.298,453.0,X
510,Switzerland,460.849,30.0,X
511,United Arab Emirates,127284293029.93,271730227836.43,X
512,United Kingdom,23679681360.44,,X
513,United Kingdom,12256.88,,X
514,United Kingdom,7773192995.792,15813758300.0,X
515,Ukraine,51139.23,103255.0,X
516,Ukraine,51143.7,103262.5,X
517,Uganda,30335.87,23028.0,X
518,Ukraine,4.47,7.5,X
519,Thailand,417.91,943.0,X
520,Thailand,116.527,117.0,X
521,USA,65323191031.0,139455959545.975,X
522,United Kingdom,15906476107.767,30585663150.0,X
523,United Kingdom,7773192995.792,15813758300.0,X
524,United Kingdom,12256.88,,X
525,United Kingdom,23679681360.44,,X
526,Thailand,1211.985,1204.0,X
527,Thailand,141.965,858.0,X
528,Eswatini,5408.0,1500.0,X
529,Eswatini,5408.0,1500.0,X
530,Trinidad and Tobago,333.124,91.493,X
531,United Kingdom,15906476107.767,30585663150.0,X
532,Thailand,66.73,22.0,X
533,Thailand,28043289.235,29032900.0,X
534,Thailand,245.945,80.0,X
535,Sweden,951.54,1761.677,X
536,Sweden,10572.67,3936.128,X
537,Sweden,56816471.313,105205348.902,X
538,Sweden,845.814,1565.935,X
539,Sweden,56828841.337,105212612.641,X
540,United Rep. of Tanzania,971652.25,6530534.0,X
541,Rep. of Korea,5724.0,1301.114,X
542,Iran,16153935333.2,,X
543,Portugal,3843.464,1215.0,X
544,Portugal,3843.464,1215.0,X
545,Portugal,3843.464,1215.0,X
546,Portugal,3843.464,1215.0,X
547,Rep. of Moldova,179288.0,579795.0,X
548,Slovakia,2047018.25,4393000.0,X
549,Slovakia,34654968.505,80400000.0,X
550,Slovakia,643.698,76.0,X
551,Slovenia,78.55,2.1,X
552,Slovenia,78.55,2.1,X
553,Slovenia,8.37,2.0,X
554,Slovenia,46965.52,1664.0,X
555,Slovenia,46973.89,1666.0,X
556,Slovenia,47052.44,1668.1,X
557,Slovenia,8.37,2.0,X
558,Slovenia,47044.07,1666.1,X
559,South Africa,784576.429,380382.45,X
560,South Africa,784576.429,380382.45,X
561,South Africa,4034.078,1036.34,X
562,South Africa,4034.078,1036.34,X
563,South Africa,788627.804,381428.1,X
564,South Africa,792772.025,382573.1,X
565,Serbia,271304.0,535900.0,X
566,Serbia,271304.0,535900.0,X
567,Thailand,26.981,27.0,X
568,Thailand,256.48,3662.0,X
569,Thailand,497.997,498.0,X
570,Thailand,103.995,104.0,X
571,Samoa,87458.27,72701.0,X
572,Thailand,1211.985,1204.0,X
573,Thailand,66.73,22.0,X
574,Thailand,115.009,115.0,X
575,Thailand,116.527,117.0,X
576,Thailand,117.012,117.0,X
577,Thailand,26.981,27.0,X
578,Thailand,346.492,341.0,X
579,Thailand,631208278.291,1368437100.0,X
580,Tunisia,614836812.356,1238026900.0,X
581,Trinidad and Tobago,1114807892.989,0.0,X
582,Trinidad and Tobago,1114808226.113,0.0,X
583,Egypt,1916595894.271,4091666608.427,X
